False,"(0, 1)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}",[],"['E', 'S']"
False,"(1, 1)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}","[{'Attack': 12, 'Defense': 5, 'HP': 60}, 'Goblin', 0.1, 25]","['E', 'S', 'W']"
False,"(2, 1)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40], 1: ['Dull Dagger', False, False, False, 45, 'one_handed', 8, 60, 25], 2: ['Iron Dagger', False, False, False, 35, 'one_handed', 12, 100, 25], 3: ['Rusty Longsword', False, False, False, 70, 'two_handed', 3, 50, 50]}","[{'Attack': 15, 'Defense': 10, 'HP': 120}, 'Hellhound', 0.05, 10]","['E', 'S', 'W']"
False,"(3, 1)",False,"{0: ['Dull Dagger', False, False, False, 45, 'one_handed', 8, 60, 25]}","[{'Attack': 15, 'Defense': 10, 'HP': 120}, 'Hellhound', 0.05, 10]","['E', 'S', 'W']"
False,"(4, 1)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}",[],"['E', 'S', 'W']"
False,"(5, 1)",False,{},[],"['E', 'S', 'W']"
False,"(6, 1)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40], 1: ['Rusty Dagger', False, False, False, 50, 'one_handed', 6, 25, 25], 2: ['Dull Dagger', False, False, False, 45, 'one_handed', 8, 60, 25], 3: ['Iron Dagger', False, False, False, 35, 'one_handed', 12, 100, 25]}","[{'Attack': 20, 'Defense': 20, 'HP': 200}, 'Gargoyle', 0.05, 10]","['S', 'W']"
False,"(0, 2)",False,"{0: ['Rusty Dagger', False, False, False, 50, 'one_handed', 6, 25, 25]}",[],"['N', 'E', 'S']"
False,"(1, 2)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(2, 2)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(3, 2)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(4, 2)",False,"{0: ['Rusty Dagger', False, False, False, 50, 'one_handed', 6, 25, 25]}",[],"['N', 'E', 'S', 'W']"
False,"(5, 2)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(6, 2)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40], 1: ['Iron Dagger', False, False, False, 35, 'one_handed', 12, 100, 25]}",[],"['N', 'S', 'W']"
False,"(0, 3)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40], 1: ['Rusty Dagger', False, False, False, 50, 'one_handed', 6, 25, 25]}",[],"['N', 'E', 'S']"
False,"(1, 3)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(2, 3)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(3, 3)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(4, 3)",False,{},"[{'Attack': 12, 'Defense': 5, 'HP': 60}, 'Goblin', 0.1, 25]","['N', 'E', 'S', 'W']"
False,"(5, 3)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(6, 3)",False,{},[],"['N', 'S', 'W']"
False,"(0, 4)",False,{},"[{'Attack': 12, 'Defense': 5, 'HP': 60}, 'Goblin', 0.1, 25]","['N', 'E', 'S']"
False,"(1, 4)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}",[],"['N', 'E', 'S', 'W']"
False,"(2, 4)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}",[],"['N', 'E', 'S', 'W']"
False,"(3, 4)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}","[{'Attack': 12, 'Defense': 5, 'HP': 60}, 'Goblin', 0.1, 25]","['N', 'E', 'S', 'W']"
False,"(4, 4)",False,{},[],"['N', 'E', 'S', 'W']"
False,"(5, 4)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40]}",[],"['N', 'E', 'S', 'W']"
False,"(6, 4)",False,{},[],"['N', 'S', 'W']"
False,"(0, 5)",False,"{0: ['Wooden Stick', False, False, False, 75, 'one_handed', 5, 20, 40], 1: ['Dull Dagger', False, False, False, 45, 'one_handed', 8, 60, 25]}",[],"['N', 'E', 'S']"
